x,Series 0,Series 1,Series 2
2018-06-01T00:00:00.000,340.251,307.317,270.34
2018-07-01T00:00:00.000,265.35,177.968,232.339
2018-08-01T00:00:00.000,557.891,380.965,497.604
2018-09-01T00:00:00.000,565.047,387.98699999999997,521.705
2018-10-01T00:00:00.000,628.272,429.65099999999995,569.816
2018-11-01T00:00:00.000,632.163,423.926,585.758
2018-12-01T00:00:00.000,602.136,403.75399999999996,524.575
2019-01-01T00:00:00.000,595.901,418.836,488.38100000000003
2019-02-01T00:00:00.000,625.251,428.803,539.653
2019-03-01T00:00:00.000,533.066,386.404,452.219
2019-04-01T00:00:00.000,613.48,430.68199999999996,469.769
2019-05-01T00:00:00.000,584.005,412.883,441.36
2019-06-01T00:00:00.000,193.445,138.43699999999998,142.924
